                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0096,                  0.818,                 1.2548,                0.82579,                0.89597,                 0.9196,                0.61703,                 1.1325,                0.59144,                 1.4071,                0.00769,                0.00769,                0.00769
                     37,                 1.0032,                0.81304,                 1.2493,                0.85033,                0.85782,                0.90809,                0.59561,                 1.1862,                0.63838,                  1.462,               0.007624,               0.007624,               0.007624
                     38,                0.99953,                0.80827,                 1.2455,                0.84568,                 0.8925,                0.92426,                0.62688,                 1.1519,                0.58149,                 1.4323,               0.007558,               0.007558,               0.007558
                     39,                0.99687,                0.80343,                 1.2479,                0.81871,                0.88678,                0.91628,                0.61206,                 1.1616,                0.61737,                  1.472,               0.007492,               0.007492,               0.007492
                     40,                0.99051,                0.79764,                 1.2372,                0.84694,                0.88104,                0.92138,                0.62162,                 1.1254,                0.59322,                  1.427,               0.007426,               0.007426,               0.007426
                     41,                0.98622,                0.79014,                 1.2359,                0.86318,                0.87045,                0.92214,                0.61512,                  1.149,                0.57469,                 1.4504,                0.00736,                0.00736,                0.00736
                     42,                 0.9846,                0.78379,                 1.2383,                 0.8649,                0.86908,                0.92226,                0.61319,                 1.1718,                0.59046,                 1.4546,               0.007294,               0.007294,               0.007294
                     43,                0.97939,                0.77827,                 1.2358,                0.84828,                0.90957,                0.93028,                0.63569,                  1.128,                0.55552,                 1.4374,               0.007228,               0.007228,               0.007228
                     44,                0.97659,                 0.7706,                  1.231,                0.84035,                0.91579,                0.93119,                0.62776,                 1.1274,                0.57252,                 1.4448,               0.007162,               0.007162,               0.007162
                     45,                0.97622,                0.77495,                 1.2335,                0.84756,                0.91861,                0.92994,                0.63435,                 1.1257,                0.56274,                 1.4369,               0.007096,               0.007096,               0.007096
                     46,                0.98015,                 0.7704,                 1.2279,                 0.8582,                0.90475,                0.93363,                0.64393,                 1.1204,                0.54707,                 1.4088,                0.00703,                0.00703,                0.00703
                     47,                0.96262,                0.76578,                 1.2264,                 0.8627,                0.89054,                0.93325,                0.63975,                 1.1146,                0.55493,                 1.4108,               0.006964,               0.006964,               0.006964
                     48,                0.96757,                0.76021,                 1.2271,                0.86429,                0.89361,                0.93315,                0.64161,                 1.1115,                0.55005,                 1.4148,               0.006898,               0.006898,               0.006898
                     49,                0.96603,                0.75388,                 1.2303,                0.87096,                0.88915,                 0.9336,                0.64449,                 1.1121,                0.54174,                 1.4345,               0.006832,               0.006832,               0.006832
                     50,                0.96129,                0.75079,                  1.224,                0.85793,                0.90111,                0.93381,                0.63891,                 1.1161,                 0.5397,                 1.4312,               0.006766,               0.006766,               0.006766
                     51,                0.95642,                0.74856,                 1.2206,                0.87407,                0.89052,                0.93357,                0.62848,                 1.1239,                0.54522,                 1.4404,                 0.0067,                 0.0067,                 0.0067
                     52,                0.95595,                0.73704,                 1.2163,                0.89024,                0.87099,                0.94098,                0.65376,                 1.0826,                0.53101,                 1.4069,               0.006634,               0.006634,               0.006634
                     53,                 0.9523,                0.74014,                 1.2171,                0.85768,                0.91624,                0.93664,                0.65646,                 1.0851,                0.53514,                  1.398,               0.006568,               0.006568,               0.006568
                     54,                0.95262,                0.73964,                 1.2184,                0.86461,                0.88602,                0.93449,                0.64721,                 1.0956,                 0.5506,                 1.3986,               0.006502,               0.006502,               0.006502
                     55,                0.94404,                0.73267,                 1.2116,                0.86582,                0.90457,                0.93736,                 0.6396,                 1.1154,                0.54142,                 1.4389,               0.006436,               0.006436,               0.006436
                     56,                0.94684,                0.72423,                 1.2072,                 0.8562,                0.91086,                0.93479,                0.64378,                 1.0902,                0.53194,                 1.4024,                0.00637,                0.00637,                0.00637
                     57,                0.94008,                 0.7222,                 1.2094,                0.84344,                0.92061,                0.94001,                0.65313,                  1.099,                 0.5354,                 1.4079,               0.006304,               0.006304,               0.006304
                     58,                0.93759,                0.71855,                 1.2055,                0.86862,                0.89876,                0.93861,                 0.6523,                 1.0729,                0.52345,                 1.3933,               0.006238,               0.006238,               0.006238
                     59,                0.93567,                 0.7147,                 1.2056,                0.87131,                0.90818,                0.94437,                0.65415,                 1.0805,                 0.5135,                 1.4052,               0.006172,               0.006172,               0.006172
                     60,                0.92925,                0.70847,                 1.2015,                0.86572,                0.92334,                0.94435,                0.65873,                 1.0759,                0.50619,                 1.4055,               0.006106,               0.006106,               0.006106
                     61,                0.93057,                 0.7101,                 1.2024,                0.84669,                 0.9297,                0.93838,                0.64917,                 1.0801,                0.51854,                 1.3853,                0.00604,                0.00604,                0.00604
                     62,                0.92961,                0.70998,                  1.199,                0.85414,                0.92341,                0.94463,                0.65513,                 1.0808,                0.50948,                 1.3764,               0.005974,               0.005974,               0.005974
                     63,                0.92931,                0.70459,                  1.197,                0.86916,                0.91666,                0.94017,                0.66189,                 1.0725,                0.51438,                 1.3764,               0.005908,               0.005908,               0.005908
                     64,                0.92527,                0.70139,                 1.1954,                0.88139,                0.91132,                0.94345,                0.66414,                 1.0657,                 0.5084,                 1.3652,               0.005842,               0.005842,               0.005842
                     65,                0.92132,                0.69709,                 1.1942,                0.89003,                0.90751,                0.94771,                0.66153,                  1.061,                0.49747,                 1.3764,               0.005776,               0.005776,               0.005776
                     66,                0.91482,                0.69529,                 1.1939,                0.87936,                0.91684,                0.94806,                0.65954,                 1.0697,                0.49591,                 1.3821,                0.00571,                0.00571,                0.00571
                     67,                0.91374,                0.69043,                 1.1902,                0.87523,                0.91198,                0.94729,                0.65889,                 1.0787,                0.50559,                 1.3815,               0.005644,               0.005644,               0.005644
                     68,                0.91375,                0.68644,                 1.1839,                0.87328,                0.92424,                0.95045,                 0.6684,                 1.0664,                0.49777,                 1.3616,               0.005578,               0.005578,               0.005578
                     69,                0.90639,                0.67724,                 1.1818,                0.86024,                0.93047,                0.94807,                0.67031,                 1.0364,                0.49166,                 1.3437,               0.005512,               0.005512,               0.005512
                     70,                0.90594,                0.68144,                 1.1883,                0.89231,                0.88217,                0.94497,                0.66096,                 1.0627,                0.50745,                 1.3753,               0.005446,               0.005446,               0.005446
                     71,                0.90416,                0.68088,                 1.1781,                0.86636,                 0.9257,                 0.9505,                0.66973,                 1.0542,                0.48812,                 1.3458,                0.00538,                0.00538,                0.00538
                     72,                0.90295,                0.67738,                 1.1807,                0.85991,                0.91877,                0.94695,                0.66231,                 1.0603,                0.49492,                 1.3567,               0.005314,               0.005314,               0.005314
                     73,                0.90118,                 0.6745,                 1.1775,                 0.8658,                0.91208,                0.94857,                0.66444,                 1.0623,                0.49648,                 1.3543,               0.005248,               0.005248,               0.005248
                     74,                 0.8978,                0.66733,                  1.171,                0.88337,                 0.9204,                0.95494,                0.66774,                 1.0526,                 0.4831,                 1.3521,               0.005182,               0.005182,               0.005182
                     75,                0.89217,                0.66779,                 1.1774,                0.87349,                0.92064,                0.95131,                0.66905,                 1.0548,                0.48645,                 1.3687,               0.005116,               0.005116,               0.005116
                     76,                0.89276,                0.66425,                 1.1725,                0.87658,                0.92379,                0.95009,                0.66374,                 1.0581,                0.48424,                 1.3528,                0.00505,                0.00505,                0.00505
                     77,                0.89235,                0.65714,                 1.1716,                0.89159,                 0.9106,                0.94653,                0.66904,                 1.0508,                0.48388,                 1.3471,               0.004984,               0.004984,               0.004984
                     78,                0.88834,                0.66166,                 1.1742,                0.88504,                0.91917,                0.94786,                0.66185,                 1.0673,                0.49222,                 1.3741,               0.004918,               0.004918,               0.004918
                     79,                0.87965,                0.65172,                  1.168,                0.87063,                0.92443,                0.94466,                0.65833,                 1.0607,                0.49168,                 1.3763,               0.004852,               0.004852,               0.004852
                     80,                0.88125,                0.65381,                 1.1714,                0.90817,                0.89672,                0.95056,                0.66258,                 1.0616,                0.48678,                 1.3846,               0.004786,               0.004786,               0.004786
                     81,                0.87809,                0.64444,                 1.1687,                0.88938,                0.90401,                0.94817,                0.66641,                 1.0505,                0.48884,                 1.3812,                0.00472,                0.00472,                0.00472
                     82,                0.87149,                0.64383,                 1.1677,                0.88374,                0.91797,                0.94916,                0.67128,                  1.041,                0.47846,                 1.3783,               0.004654,               0.004654,               0.004654
                     83,                0.87233,                0.64535,                 1.1661,                 0.8724,                0.93035,                0.94936,                0.67292,                 1.0387,                0.48059,                 1.3713,               0.004588,               0.004588,               0.004588
                     84,                0.87017,                0.64445,                 1.1646,                 0.8701,                0.93134,                0.94948,                  0.676,                 1.0304,                 0.4727,                  1.356,               0.004522,               0.004522,               0.004522
                     85,                0.86982,                0.63484,                 1.1637,                0.88285,                0.92791,                0.95044,                0.67821,                 1.0286,                 0.4657,                 1.3578,               0.004456,               0.004456,               0.004456
                     86,                0.86223,                0.63452,                 1.1605,                0.87174,                0.93141,                0.95122,                0.68065,                 1.0325,                0.46873,                 1.3524,                0.00439,                0.00439,                0.00439
                     87,                0.86178,                0.63308,                 1.1568,                0.90538,                0.90258,                0.95209,                0.67847,                 1.0296,                 0.4645,                 1.3431,               0.004324,               0.004324,               0.004324
                     88,                0.86052,                0.62712,                 1.1558,                0.88183,                0.92499,                0.95014,                0.67815,                  1.025,                0.47072,                 1.3455,               0.004258,               0.004258,               0.004258
                     89,                0.85697,                0.62337,                 1.1473,                0.86638,                 0.9311,                0.94884,                0.67548,                 1.0245,                0.46813,                 1.3283,               0.004192,               0.004192,               0.004192
                     90,                0.85453,                0.62253,                 1.1486,                0.87653,                0.92314,                0.94992,                0.67614,                 1.0251,                0.46682,                 1.3278,               0.004126,               0.004126,               0.004126
                     91,                0.85062,                0.62192,                 1.1476,                 0.8839,                 0.9219,                0.95081,                0.67756,                 1.0239,                0.46571,                 1.3241,                0.00406,                0.00406,                0.00406
                     92,                0.85286,                0.61594,                 1.1442,                0.88874,                0.91949,                 0.9495,                0.67707,                 1.0219,                0.46445,                 1.3234,               0.003994,               0.003994,               0.003994
                     93,                0.85008,                0.61556,                 1.1443,                0.89959,                0.90951,                0.95107,                0.67554,                 1.0216,                0.46909,                 1.3197,               0.003928,               0.003928,               0.003928
                     94,                0.84707,                0.60962,                 1.1429,                0.90554,                0.90512,                0.95162,                0.67667,                 1.0232,                0.46547,                 1.3218,               0.003862,               0.003862,               0.003862
                     95,                0.84331,                0.61085,                  1.136,                0.90621,                0.89979,                0.95328,                0.67644,                 1.0281,                0.46815,                  1.325,               0.003796,               0.003796,               0.003796
                     96,                0.84281,                 0.6128,                 1.1359,                0.90742,                0.90325,                 0.9527,                0.68002,                 1.0231,                0.46278,                 1.3182,                0.00373,                0.00373,                0.00373
                     97,                0.83755,                0.60656,                  1.136,                0.91257,                0.90717,                0.95237,                0.67906,                 1.0307,                0.46267,                 1.3233,               0.003664,               0.003664,               0.003664
                     98,                0.83744,                0.60195,                 1.1389,                0.90625,                0.91098,                0.95158,                0.67668,                 1.0341,                0.46234,                 1.3288,               0.003598,               0.003598,               0.003598
                     99,                0.83593,                0.59868,                 1.1333,                0.91076,                0.90779,                0.95341,                  0.677,                  1.032,                 0.4599,                 1.3219,               0.003532,               0.003532,               0.003532
                    100,                0.82868,                0.59478,                 1.1302,                0.92059,                0.90519,                0.95421,                0.68316,                 1.0289,                0.45874,                 1.3175,               0.003466,               0.003466,               0.003466
                    101,                0.83191,                0.59426,                 1.1312,                0.91289,                0.90775,                0.95479,                0.68531,                 1.0282,                0.46019,                 1.3189,                 0.0034,                 0.0034,                 0.0034
                    102,                0.82727,                0.59235,                 1.1344,                 0.9149,                0.90648,                0.95588,                 0.6865,                 1.0284,                0.45698,                 1.3229,               0.003334,               0.003334,               0.003334
                    103,                0.82451,                0.59035,                  1.128,                0.92399,                0.90181,                0.95513,                0.68453,                 1.0293,                0.45995,                 1.3244,               0.003268,               0.003268,               0.003268
                    104,                0.82243,                 0.5917,                 1.1296,                0.92274,                 0.8975,                0.95646,                0.68615,                 1.0256,                0.46057,                   1.32,               0.003202,               0.003202,               0.003202
                    105,                0.82279,                0.59001,                 1.1297,                0.91496,                0.89884,                0.95634,                  0.685,                 1.0247,                0.45986,                 1.3205,               0.003136,               0.003136,               0.003136
                    106,                0.82028,                0.58567,                 1.1214,                 0.9107,                0.90346,                0.95571,                0.68207,                 1.0244,                0.45937,                 1.3178,                0.00307,                0.00307,                0.00307
                    107,                0.81827,                0.58429,                 1.1226,                0.90856,                0.90627,                0.95564,                0.68325,                  1.022,                0.45868,                 1.3149,               0.003004,               0.003004,               0.003004
                    108,                0.81239,                0.58059,                  1.125,                 0.9117,                0.90702,                0.95592,                0.68448,                 1.0191,                0.45727,                  1.314,               0.002938,               0.002938,               0.002938
                    109,                0.81147,                0.58198,                 1.1192,                0.91609,                0.91203,                0.95485,                0.68506,                 1.0164,                0.45754,                 1.3132,               0.002872,               0.002872,               0.002872
                    110,                0.81092,                0.57482,                 1.1224,                0.91295,                0.91073,                0.95453,                0.68478,                 1.0143,                0.45538,                 1.3153,               0.002806,               0.002806,               0.002806
                    111,                0.80372,                0.57041,                 1.1218,                0.91092,                0.91419,                0.95489,                0.68532,                 1.0127,                0.45453,                  1.318,                0.00274,                0.00274,                0.00274
                    112,                0.79762,                0.56626,                 1.1147,                0.90873,                0.92102,                0.95493,                0.68589,                  1.009,                0.45342,                 1.3167,               0.002674,               0.002674,               0.002674
                    113,                 0.7977,                0.56747,                 1.1137,                  0.904,                0.92401,                0.95564,                0.68899,                 1.0089,                0.45443,                 1.3149,               0.002608,               0.002608,               0.002608
                    114,                0.79653,                0.56341,                 1.1112,                0.90267,                0.92418,                0.95481,                0.68858,                 1.0091,                0.45612,                 1.3151,               0.002542,               0.002542,               0.002542
                    115,                0.79488,                0.56446,                 1.1108,                0.90934,                0.92302,                0.95475,                0.68784,                  1.008,                0.45646,                 1.3144,               0.002476,               0.002476,               0.002476
                    116,                0.79094,                0.56148,                 1.1092,                0.90645,                0.92351,                0.95475,                0.68497,                 1.0091,                0.45736,                 1.3164,                0.00241,                0.00241,                0.00241
                    117,                0.78711,                0.55938,                 1.1096,                0.90733,                0.92083,                0.95381,                0.68575,                 1.0064,                0.45822,                 1.3164,               0.002344,               0.002344,               0.002344
                    118,                0.79446,                0.56156,                 1.1105,                0.91532,                0.91123,                0.95404,                0.68506,                 1.0051,                0.45765,                 1.3174,               0.002278,               0.002278,               0.002278
                    119,                0.78707,                0.55349,                 1.1092,                0.91515,                0.90994,                0.95297,                0.68422,                 1.0043,                0.45764,                 1.3175,               0.002212,               0.002212,               0.002212
                    120,                 0.7865,                0.55104,                 1.1077,                0.90886,                0.91887,                0.95324,                0.68389,                 1.0048,                0.45739,                 1.3194,               0.002146,               0.002146,               0.002146
                    121,                0.78167,                0.55062,                 1.1052,                0.91203,                 0.9152,                0.95325,                0.68378,                 1.0065,                0.45878,                 1.3203,                0.00208,                0.00208,                0.00208
                    122,                0.77664,                0.54724,                 1.0988,                 0.9108,                0.91583,                0.95332,                0.68731,                 1.0044,                0.45854,                  1.318,               0.002014,               0.002014,               0.002014
                    123,                0.78116,                0.54378,                 1.1046,                0.91581,                0.91314,                0.95396,                0.68743,                 1.0042,                0.45749,                 1.3192,               0.001948,               0.001948,               0.001948
                    124,                0.77339,                0.54564,                 1.1067,                 0.9096,                 0.9164,                0.95425,                0.68763,                 1.0044,                0.45782,                 1.3225,               0.001882,               0.001882,               0.001882
                    125,                0.77339,                0.54384,                  1.102,                0.90744,                0.91502,                0.95483,                0.68914,                 1.0027,                0.45829,                 1.3212,               0.001816,               0.001816,               0.001816
                    126,                0.76825,                0.53906,                 1.1024,                0.90396,                0.91942,                0.95462,                0.68753,                 1.0035,                0.45885,                 1.3234,                0.00175,                0.00175,                0.00175
                    127,                0.76784,                0.53857,                 1.1031,                 0.9043,                0.91964,                0.95508,                0.68856,                 1.0037,                0.46022,                 1.3246,               0.001684,               0.001684,               0.001684
                    128,                0.76705,                0.53767,                 1.0989,                0.90443,                0.91967,                0.95579,                0.68954,                 1.0049,                 0.4594,                  1.327,               0.001618,               0.001618,               0.001618
                    129,                0.75944,                0.52997,                 1.0947,                0.90432,                0.91987,                0.95571,                0.68942,                  1.005,                0.45997,                 1.3275,               0.001552,               0.001552,               0.001552
                    130,                0.76103,                0.53344,                 1.0974,                0.90502,                0.91551,                0.95588,                0.69079,                 1.0046,                0.45973,                 1.3279,               0.001486,               0.001486,               0.001486
                    131,                0.75868,                0.52713,                  1.095,                0.90967,                0.91645,                0.95639,                 0.6913,                 1.0035,                0.45943,                 1.3281,                0.00142,                0.00142,                0.00142
                    132,                0.75746,                0.52772,                 1.0905,                0.91127,                0.91549,                0.95665,                0.69182,                  1.003,                0.45856,                  1.328,               0.001354,               0.001354,               0.001354
                    133,                0.75479,                0.52558,                 1.0911,                0.91078,                0.91647,                0.95666,                0.69205,                  1.002,                0.45877,                 1.3271,               0.001288,               0.001288,               0.001288
                    134,                0.75007,                0.52314,                 1.0931,                0.90995,                0.91467,                0.95663,                 0.6914,                 1.0009,                0.45894,                 1.3272,               0.001222,               0.001222,               0.001222
                    135,                0.74869,                0.52454,                 1.0888,                0.91159,                 0.9152,                 0.9563,                 0.6907,                 1.0007,                0.45855,                 1.3283,               0.001156,               0.001156,               0.001156
                    136,                0.74389,                0.51919,                 1.0807,                0.90917,                0.91872,                0.95633,                0.69042,                 1.0006,                0.45844,                 1.3282,                0.00109,                0.00109,                0.00109
                    137,                0.74563,                0.51967,                  1.086,                0.91181,                0.91618,                0.95661,                 0.6908,                 1.0002,                0.45809,                 1.3278,               0.001024,               0.001024,               0.001024
                    138,                 0.7394,                0.51635,                 1.0823,                 0.9107,                 0.9162,                0.95645,                 0.6907,                0.99999,                0.45757,                  1.328,               0.000958,               0.000958,               0.000958
                    139,                0.74215,                0.51557,                 1.0822,                0.91152,                0.91592,                0.95644,                0.69057,                      1,                0.45804,                 1.3283,               0.000892,               0.000892,               0.000892
