epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1676.47,1.11197,0.9688,1.39784,0.93385,0.91482,0.93112,0.6557,1.14836,0.52694,1.49689,0.007921,0.007921,0.007921
44,1715.94,1.10496,0.954,1.39097,0.94159,0.92738,0.93372,0.66038,1.14015,0.50835,1.48411,0.0078715,0.0078715,0.0078715
45,1753.59,1.09976,0.97009,1.3856,0.92811,0.91939,0.93052,0.65939,1.13173,0.52556,1.49346,0.007822,0.007822,0.007822
46,1794.44,1.10997,0.9802,1.39848,0.93798,0.92313,0.93673,0.66151,1.10812,0.5026,1.48192,0.0077725,0.0077725,0.0077725
47,1833.61,1.10342,0.96167,1.39425,0.93388,0.92617,0.93222,0.66581,1.08682,0.49672,1.46942,0.007723,0.007723,0.007723
48,1874.75,1.09823,0.95342,1.38378,0.9328,0.92454,0.93471,0.66295,1.12935,0.51352,1.47875,0.0076735,0.0076735,0.0076735
49,1914.21,1.09853,0.94612,1.38595,0.92441,0.92738,0.92972,0.66586,1.10475,0.49837,1.46897,0.007624,0.007624,0.007624
50,1951.73,1.08746,0.9332,1.37702,0.93318,0.92744,0.9362,0.66345,1.10439,0.49865,1.47963,0.0075745,0.0075745,0.0075745
51,1992,1.0844,0.93593,1.37541,0.92725,0.92477,0.92887,0.6616,1.09056,0.50007,1.4845,0.007525,0.007525,0.007525
52,2032.33,1.08445,0.93631,1.37847,0.93939,0.92557,0.92779,0.6664,1.09504,0.48702,1.46016,0.0074755,0.0074755,0.0074755
53,2076.77,1.08226,0.9278,1.37547,0.93127,0.9292,0.93234,0.66752,1.10379,0.48258,1.4679,0.007426,0.007426,0.007426
54,2114.78,1.08144,0.92973,1.37496,0.9334,0.92244,0.92966,0.66677,1.09205,0.49953,1.47616,0.0073765,0.0073765,0.0073765
55,2154.49,1.0754,0.91739,1.37287,0.92935,0.93063,0.93268,0.66546,1.11604,0.49326,1.47259,0.007327,0.007327,0.007327
56,2194.37,1.07026,0.90238,1.3667,0.93637,0.92919,0.93441,0.67,1.09129,0.49348,1.46137,0.0072775,0.0072775,0.0072775
57,2232.81,1.06976,0.91833,1.36807,0.9296,0.9322,0.93434,0.66475,1.09061,0.49871,1.46987,0.007228,0.007228,0.007228
58,2272.56,1.06464,0.89705,1.36173,0.93733,0.9317,0.93917,0.67331,1.09241,0.47768,1.46537,0.0071785,0.0071785,0.0071785
59,2311.56,1.06917,0.89056,1.35908,0.93207,0.92581,0.93745,0.6706,1.0823,0.48125,1.46927,0.007129,0.007129,0.007129
60,2352.55,1.05983,0.9064,1.36285,0.92981,0.93513,0.93851,0.67101,1.09417,0.48168,1.47386,0.0070795,0.0070795,0.0070795
61,2391.3,1.05724,0.89288,1.36048,0.93718,0.93139,0.93874,0.67157,1.08046,0.47326,1.4751,0.00703,0.00703,0.00703
62,2434.3,1.05495,0.8993,1.35958,0.92719,0.93117,0.93218,0.67069,1.09049,0.47927,1.47555,0.0069805,0.0069805,0.0069805
63,2474.81,1.05168,0.88436,1.35483,0.93443,0.92133,0.93276,0.66581,1.09448,0.48168,1.47691,0.006931,0.006931,0.006931
64,2513.81,1.0498,0.88355,1.35369,0.93243,0.92508,0.93437,0.67048,1.08695,0.47487,1.47263,0.0068815,0.0068815,0.0068815
65,2555.69,1.04487,0.87741,1.35101,0.93537,0.92587,0.93379,0.6687,1.09437,0.47779,1.47064,0.006832,0.006832,0.006832
66,2596.91,1.04238,0.87705,1.34606,0.93334,0.9205,0.92994,0.67013,1.09374,0.48162,1.47962,0.0067825,0.0067825,0.0067825
67,2636.32,1.04844,0.89765,1.35732,0.92959,0.92529,0.93272,0.67228,1.08473,0.48061,1.4727,0.006733,0.006733,0.006733
68,2675.67,1.03893,0.86919,1.34458,0.92861,0.92536,0.93153,0.66811,1.09523,0.48599,1.47611,0.0066835,0.0066835,0.0066835
69,2717.06,1.03332,0.87278,1.34296,0.93156,0.92979,0.93312,0.67189,1.108,0.47269,1.47965,0.006634,0.006634,0.006634
70,2756.21,1.02957,0.86139,1.343,0.93183,0.92425,0.93489,0.67187,1.11176,0.48634,1.48616,0.0065845,0.0065845,0.0065845
71,2794.24,1.03119,0.86866,1.33833,0.93347,0.92808,0.93567,0.6703,1.11,0.48058,1.483,0.006535,0.006535,0.006535
72,2834.94,1.01874,0.8439,1.33067,0.93094,0.92691,0.9347,0.66625,1.11179,0.48715,1.49442,0.0064855,0.0064855,0.0064855
73,2873.11,1.02587,0.86333,1.33602,0.92911,0.93207,0.93602,0.67012,1.107,0.49298,1.49075,0.006436,0.006436,0.006436
74,2913.88,1.02255,0.85983,1.33953,0.92921,0.93081,0.93512,0.6694,1.09591,0.47618,1.48253,0.0063865,0.0063865,0.0063865
75,2951.82,1.01225,0.84478,1.33026,0.93524,0.92508,0.93451,0.66942,1.10306,0.48345,1.49078,0.006337,0.006337,0.006337
76,2990.69,1.01143,0.84561,1.32619,0.93266,0.92905,0.92999,0.66356,1.10267,0.4863,1.49775,0.0062875,0.0062875,0.0062875
77,3031.33,1.02081,0.84495,1.33529,0.93352,0.92429,0.93286,0.66717,1.10842,0.48159,1.49705,0.006238,0.006238,0.006238
78,3071.25,1.00716,0.83373,1.32689,0.93335,0.9239,0.93659,0.6697,1.09583,0.47248,1.49164,0.0061885,0.0061885,0.0061885
79,3114.08,1.00404,0.82456,1.32073,0.93231,0.91929,0.93404,0.67142,1.10238,0.47114,1.49301,0.006139,0.006139,0.006139
80,3153.53,1.00826,0.83554,1.32287,0.93575,0.92406,0.93492,0.67025,1.10453,0.46698,1.50077,0.0060895,0.0060895,0.0060895
81,3193.13,1.00337,0.82536,1.32225,0.93655,0.92495,0.93549,0.67044,1.10411,0.4695,1.50245,0.00604,0.00604,0.00604
82,3235.34,1.00708,0.83296,1.32042,0.9355,0.92279,0.93376,0.67162,1.10848,0.46969,1.49828,0.0059905,0.0059905,0.0059905
83,3274.84,1.00229,0.82349,1.31962,0.93619,0.92655,0.93585,0.67231,1.11199,0.47483,1.50173,0.005941,0.005941,0.005941
84,3314.2,0.98827,0.81554,1.30735,0.9317,0.92722,0.93486,0.67242,1.10344,0.46841,1.50029,0.0058915,0.0058915,0.0058915
85,3351.48,0.99593,0.80622,1.31543,0.92808,0.92967,0.93452,0.66991,1.09857,0.47002,1.49517,0.005842,0.005842,0.005842
86,3392.88,0.98932,0.81519,1.31051,0.93127,0.92781,0.93157,0.66969,1.09187,0.46608,1.49363,0.0057925,0.0057925,0.0057925
87,3431.81,0.98316,0.80726,1.31159,0.93212,0.92798,0.93083,0.66982,1.08935,0.46554,1.49064,0.005743,0.005743,0.005743
88,3471.92,0.98985,0.81063,1.31035,0.93479,0.92434,0.93316,0.67285,1.09376,0.46748,1.49378,0.0056935,0.0056935,0.0056935
89,3518.14,0.98462,0.80691,1.30789,0.93617,0.92253,0.93184,0.66981,1.09728,0.46707,1.49655,0.005644,0.005644,0.005644
90,3558.2,0.9796,0.79859,1.30306,0.93561,0.92345,0.93298,0.67205,1.10043,0.46921,1.5002,0.0055945,0.0055945,0.0055945
91,3605.4,0.97542,0.80272,1.30343,0.93629,0.92586,0.93351,0.6728,1.1003,0.46938,1.50143,0.005545,0.005545,0.005545
92,3639.78,0.97602,0.78811,1.30211,0.93376,0.92578,0.93217,0.66999,1.09947,0.46789,1.50114,0.0054955,0.0054955,0.0054955
93,3684.45,0.96909,0.78692,1.2976,0.93559,0.92713,0.93204,0.67298,1.09578,0.46641,1.49658,0.005446,0.005446,0.005446
94,3721.82,0.96527,0.78632,1.29373,0.93329,0.92683,0.93188,0.67237,1.09759,0.46616,1.49858,0.0053965,0.0053965,0.0053965
95,3759.56,0.96319,0.78847,1.2946,0.93332,0.92783,0.93015,0.67172,1.09872,0.46681,1.49982,0.005347,0.005347,0.005347
96,3801.6,0.96342,0.7883,1.29821,0.93474,0.92469,0.93094,0.67162,1.1001,0.46867,1.50152,0.0052975,0.0052975,0.0052975
97,3841.32,0.9578,0.77647,1.28771,0.93481,0.9239,0.93014,0.67093,1.10355,0.46932,1.50332,0.005248,0.005248,0.005248
98,3882.29,0.95344,0.78208,1.28964,0.93122,0.92945,0.93071,0.6695,1.10329,0.47104,1.50574,0.0051985,0.0051985,0.0051985
99,3921.66,0.95322,0.77474,1.28713,0.93213,0.92721,0.93047,0.66949,1.10544,0.47045,1.50547,0.005149,0.005149,0.005149
100,3960.05,0.95421,0.76317,1.285,0.9339,0.92798,0.93055,0.6701,1.10342,0.47125,1.50489,0.0050995,0.0050995,0.0050995
101,4000.55,0.95026,0.76245,1.2863,0.93185,0.93008,0.93115,0.67149,1.1032,0.47159,1.50552,0.00505,0.00505,0.00505
102,4041.36,0.94508,0.75982,1.28216,0.93286,0.92875,0.93065,0.67113,1.10443,0.47162,1.50843,0.0050005,0.0050005,0.0050005
103,4082.06,0.94665,0.76281,1.28152,0.93223,0.92927,0.93165,0.66994,1.10389,0.47066,1.50875,0.004951,0.004951,0.004951
104,4122.5,0.93837,0.76465,1.27994,0.9329,0.92965,0.93292,0.67293,1.10181,0.46632,1.50627,0.0049015,0.0049015,0.0049015
105,4163.65,0.93795,0.75026,1.2765,0.93322,0.92949,0.93181,0.67123,1.10311,0.46883,1.50804,0.004852,0.004852,0.004852
106,4204.98,0.94124,0.75238,1.27874,0.93262,0.92991,0.93087,0.67045,1.10498,0.46932,1.51065,0.0048025,0.0048025,0.0048025
107,4251.81,0.93466,0.7573,1.2734,0.93314,0.92936,0.93124,0.67077,1.10589,0.46922,1.51287,0.004753,0.004753,0.004753
108,4293.56,0.93556,0.75955,1.27738,0.93417,0.92859,0.93131,0.67106,1.1078,0.47383,1.51345,0.0047035,0.0047035,0.0047035
109,4339.72,0.93521,0.74925,1.27421,0.93444,0.92813,0.93093,0.67035,1.1089,0.4744,1.51356,0.004654,0.004654,0.004654
110,4383.18,0.92701,0.75118,1.26769,0.93426,0.92834,0.93159,0.66972,1.11137,0.47134,1.5157,0.0046045,0.0046045,0.0046045
111,4426.04,0.92299,0.74274,1.26529,0.93425,0.9283,0.93128,0.66972,1.11085,0.47193,1.51648,0.004555,0.004555,0.004555
112,4469.32,0.91781,0.73754,1.26499,0.9339,0.92865,0.93148,0.66845,1.11211,0.47125,1.51818,0.0045055,0.0045055,0.0045055
